Year,Name,Gender,Count
1880,Corinne,F,33
1880,Ivy,F,33
1880,Melissa,F,33
1880,Lyda,F,32
1880,Naomi,F,32
1880,Norma,F,32
1880,Bell,F,31
1880,Margie,F,31
1880,Nona,F,31
1880,Zella,F,31
1880,Dovie,F,30
1880,Elvira,F,30
1880,Erma,F,30
1880,Irma,F,30
1880,Leota,F,30
1880,William,F,30
1880,Artie,F,29
1880,Blanch,F,29
1880,Charity,F,29
1880,Lorena,F,29
1880,Lucretia,F,29
1880,Orpha,F,29
1880,Alvina,F,28
1880,Annette,F,28
1880,Catharine,F,28
1880,Elma,F,28
1880,Geneva,F,28
1880,Janet,F,28
1880,Lee,F,28
1880,Leora,F,28
1880,Lona,F,28
1880,Miriam,F,28
1880,Zora,F,28
1880,Linda,F,27
1880,Octavia,F,27
1880,Sudie,F,27
1880,Zula,F,27
1880,Adella,F,26
1880,Alpha,F,26
1880,Frieda,F,26
1880,George,F,26
1880,Joanna,F,26
1880,Leonora,F,26
1880,Priscilla,F,26
1880,Tennie,F,26
1880,Angeline,F,25
1880,Docia,F,25
1880,Ettie,F,25
1880,Flossie,F,25
1880,Hanna,F,25
1880,Letha,F,25
1880,Minta,F,25
1880,Retta,F,25
1880,Rosella,F,25
1880,Adah,F,24
1880,Berta,F,24
1880,Elisabeth,F,24
1880,Elise,F,24
1880,Goldie,F,24
1880,Leola,F,24
1880,Margret,F,24
1880,Adaline,F,23
1880,Floy,F,23
1880,Idella,F,23
1880,Juanita,F,23
1880,Lenna,F,23
1880,Lucie,F,23
1880,Missouri,F,23
1880,Nola,F,23
1880,Zoe,F,23
1880,Eda,F,22
1880,Isabell,F,22
1880,James,F,22
1880,Julie,F,22
1880,Letitia,F,22
1880,Madeline,F,22
1880,Malissa,F,22
1880,Mariah,F,22
1880,Pattie,F,22
1880,Vivian,F,22
1880,Almeda,F,21
1880,Aurelia,F,21
1880,Claire,F,21
1880,Dolly,F,21
1880,Hazel,F,21
1880,Jannie,F,21
1880,Kathleen,F,21
1880,Kathrine,F,21
1880,Lavinia,F,21
1880,Marietta,F,21
1880,Melvina,F,21
1880,Ona,F,21
1880,Pinkie,F,21
1880,Samantha,F,21
1880,Susanna,F,21
1880,Chloe,F,20
1880,Donnie,F,20
1880,Elsa,F,20
1880,Gladys,F,20
1880,Matie,F,20
1880,Pearle,F,20
1880,Vesta,F,20
1880,Vinnie,F,20
1880,Antoinette,F,19
1880,Clementine,F,19
1880,Edythe,F,19
1880,Harriette,F,19
1880,Libbie,F,19
1880,Lilian,F,19
1880,Lue,F,19
1880,Lutie,F,19
1880,Magdalena,F,19
1880,Meda,F,19
1880,Rita,F,19
1880,Tena,F,19
1880,Zelma,F,19
1880,Adelia,F,18
1880,Annetta,F,18
1880,Antonia,F,18
1880,Dona,F,18
1880,Elizebeth,F,18
1880,Georgianna,F,18
1880,Gracie,F,18
1880,Iona,F,18
1880,Lessie,F,18
1880,Leta,F,18
1880,Liza,F,18
1880,Mertie,F,18
1880,Molly,F,18
1880,Neva,F,18
1880,Oma,F,18
1880,Alida,F,17
1880,Alva,F,17
1880,Cecile,F,17
1880,Cleo,F,17
1880,Donna,F,17
1880,Ellie,F,17
1880,Ernestine,F,17
1880,Evie,F,17
1880,Frankie,F,17
1880,Helene,F,17
1880,Minna,F,17
1880,Myrta,F,17
1880,Prudence,F,17
1880,Queen,F,17
1880,Rilla,F,17
1880,Savannah,F,17
1880,Tessie,F,17
1880,Tina,F,17
1880,Agatha,F,16
1880,America,F,16
